Correlativo,Timestamp,Estado anterior,Estado nuevo,Motivo
2077,2026-01-12 16:00:00,PROGRAMADA,EN_CURSO,
1989,2026-01-12 16:00:00,PROGRAMADA,EN_CURSO,
659,2026-01-12 16:30:00,PROGRAMADA,EN_CURSO,
1288,2026-01-12 17:00:00,EN_CURSO,REALIZADA,
1843,2026-01-12 17:00:00,EN_CURSO,REALIZADA,
2085,2026-01-12 17:00:00,EN_CURSO,REALIZADA,
2077,2026-01-12 17:00:00,EN_CURSO,REALIZADA,
1989,2026-01-12 17:00:00,EN_CURSO,REALIZADA,
410,2026-01-12 17:00:00,PROGRAMADA,EN_CURSO,
2017,2026-01-12 17:00:00,PROGRAMADA,EN_CURSO,
1095,2026-01-12 17:00:00,PROGRAMADA,EN_CURSO,
596,2026-01-12 17:00:00,PROGRAMADA,EN_CURSO,
586,2026-01-12 18:00:00,EN_CURSO,REALIZADA,
659,2026-01-12 18:00:00,EN_CURSO,REALIZADA,
410,2026-01-12 18:00:00,EN_CURSO,REALIZADA,
2017,2026-01-12 18:00:00,EN_CURSO,REALIZADA,
1095,2026-01-12 18:00:00,EN_CURSO,REALIZADA,
596,2026-01-12 18:00:00,EN_CURSO,REALIZADA,
