Correlativo,Timestamp,Estado anterior,Estado nuevo,Motivo
2066,2026-01-05 16:00:00,PROGRAMADA,EN_CURSO,
621,2026-01-05 17:00:00,EN_CURSO,REALIZADA,
2076,2026-01-05 17:00:00,EN_CURSO,REALIZADA,
1093,2026-01-05 17:00:00,EN_CURSO,REALIZADA,
2121,2026-01-05 17:00:00,EN_CURSO,REALIZADA,
1747,2026-01-05 17:00:00,EN_CURSO,REALIZADA,
1123,2026-01-05 17:00:00,PROGRAMADA,EN_CURSO,
533,2026-01-05 17:00:00,PROGRAMADA,EN_CURSO,
1164,2026-01-05 17:00:00,PROGRAMADA,EN_CURSO,
2093,2026-01-05 17:00:00,PROGRAMADA,EN_CURSO,
1684,2026-01-05 18:00:00,EN_CURSO,REALIZADA,
2066,2026-01-05 18:00:00,EN_CURSO,REALIZADA,
1123,2026-01-05 18:00:00,EN_CURSO,REALIZADA,
533,2026-01-05 18:00:00,EN_CURSO,REALIZADA,
1164,2026-01-05 18:00:00,EN_CURSO,REALIZADA,
2093,2026-01-05 18:00:00,EN_CURSO,REALIZADA,
1895,2026-01-06 08:00:00,PROGRAMADA,EN_CURSO,
1730,2026-01-06 08:00:00,PROGRAMADA,EN_CURSO,
1059,2026-01-06 08:00:00,PROGRAMADA,EN_CURSO,
1352,2026-01-06 08:00:00,PROGRAMADA,EN_CURSO,
1316,2026-01-06 08:00:00,PROGRAMADA,EN_CURSO,
1730,2026-01-06 08:45:00,EN_CURSO,REALIZADA,
1352,2026-01-06 09:00:00,EN_CURSO,REALIZADA,
449,2026-01-06 09:00:00,PROGRAMADA,EN_CURSO,
2040,2026-01-06 09:00:00,PROGRAMADA,EN_CURSO,
440,2026-01-06 09:00:00,PROGRAMADA,EN_CURSO,
1059,2026-01-06 09:15:00,EN_CURSO,REALIZADA,
2040,2026-01-06 09:45:00,EN_CURSO,REALIZADA,
1895,2026-01-06 10:00:00,EN_CURSO,REALIZADA,
1316,2026-01-06 10:00:00,EN_CURSO,REALIZADA,
440,2026-01-06 10:00:00,EN_CURSO,REALIZADA,
489,2026-01-06 10:00:00,PROGRAMADA,EN_CURSO,
1131,2026-01-06 10:00:00,PROGRAMADA,EN_CURSO,
439,2026-01-06 10:00:00,PROGRAMADA,EN_CURSO,
1036,2026-01-06 10:00:00,PROGRAMADA,EN_CURSO,
489,2026-01-06 10:45:00,EN_CURSO,REALIZADA,
1187,2026-01-06 10:45:00,PROGRAMADA,EN_CURSO,
449,2026-01-06 11:00:00,EN_CURSO,REALIZADA,
1131,2026-01-06 11:00:00,EN_CURSO,REALIZADA,
439,2026-01-06 11:00:00,EN_CURSO,REALIZADA,
656,2026-01-06 11:00:00,PROGRAMADA,EN_CURSO,
2087,2026-01-06 11:00:00,PROGRAMADA,EN_CURSO,
1187,2026-01-06 11:30:00,EN_CURSO,REALIZADA,
2145,2026-01-06 11:30:00,PROGRAMADA,EN_CURSO,
1302,2026-01-06 11:45:00,PROGRAMADA,EN_CURSO,
1036,2026-01-06 12:00:00,EN_CURSO,REALIZADA,
656,2026-01-06 12:00:00,EN_CURSO,REALIZADA,
2087,2026-01-06 12:00:00,EN_CURSO,REALIZADA,
330,2026-01-06 12:00:00,PROGRAMADA,EN_CURSO,
1068,2026-01-06 12:00:00,PROGRAMADA,EN_CURSO,
2145,2026-01-06 12:15:00,EN_CURSO,REALIZADA,
387,2026-01-06 12:15:00,PROGRAMADA,EN_CURSO,
1302,2026-01-06 13:00:00,EN_CURSO,REALIZADA,
330,2026-01-06 13:00:00,EN_CURSO,REALIZADA,
387,2026-01-06 13:00:00,EN_CURSO,REALIZADA,
1234,2026-01-06 13:00:00,PROGRAMADA,EN_CURSO,
1068,2026-01-06 14:00:00,EN_CURSO,REALIZADA,
1234,2026-01-06 14:00:00,EN_CURSO,REALIZADA,
655,2026-01-06 14:00:00,PROGRAMADA,EN_CURSO,
1290,2026-01-06 14:00:00,PROGRAMADA,EN_CURSO,
1867,2026-01-06 14:00:00,PROGRAMADA,EN_CURSO,
2053,2026-01-06 14:00:00,PROGRAMADA,EN_CURSO,
532,2026-01-06 14:30:00,PROGRAMADA,EN_CURSO,
1751,2026-01-06 14:30:00,PROGRAMADA,EN_CURSO,
655,2026-01-06 15:00:00,EN_CURSO,REALIZADA,
1867,2026-01-06 15:00:00,EN_CURSO,REALIZADA,
2053,2026-01-06 15:00:00,EN_CURSO,REALIZADA,
1926,2026-01-06 15:00:00,PROGRAMADA,EN_CURSO,
424,2026-01-06 15:00:00,PROGRAMADA,EN_CURSO,
1106,2026-01-06 15:30:00,PROGRAMADA,EN_CURSO,
1290,2026-01-06 16:00:00,EN_CURSO,REALIZADA,
532,2026-01-06 16:00:00,EN_CURSO,REALIZADA,
424,2026-01-06 16:00:00,EN_CURSO,REALIZADA,
1866,2026-01-06 16:00:00,PROGRAMADA,EN_CURSO,
1751,2026-01-06 16:30:00,EN_CURSO,REALIZADA,
1220,2026-01-06 16:30:00,PROGRAMADA,EN_CURSO,
1106,2026-01-06 16:45:00,EN_CURSO,REALIZADA,
1033,2026-01-06 16:45:00,PROGRAMADA,EN_CURSO,
1926,2026-01-06 17:00:00,EN_CURSO,REALIZADA,
1866,2026-01-06 17:00:00,EN_CURSO,REALIZADA,
1971,2026-01-06 17:00:00,PROGRAMADA,EN_CURSO,
1220,2026-01-06 18:00:00,EN_CURSO,REALIZADA,
1033,2026-01-06 18:00:00,EN_CURSO,REALIZADA,
1971,2026-01-06 18:00:00,EN_CURSO,REALIZADA,
310,2026-01-07 08:00:00,PROGRAMADA,EN_CURSO,
494,2026-01-07 08:00:00,PROGRAMADA,EN_CURSO,
494,2026-01-07 08:45:00,EN_CURSO,REALIZADA,
310,2026-01-07 09:00:00,EN_CURSO,REALIZADA,
1328,2026-01-07 09:00:00,PROGRAMADA,EN_CURSO,
358,2026-01-07 09:00:00,PROGRAMADA,EN_CURSO,
1328,2026-01-07 09:45:00,EN_CURSO,REALIZADA,
452,2026-01-07 10:00:00,PROGRAMADA,EN_CURSO,
501,2026-01-07 10:00:00,PROGRAMADA,EN_CURSO,
358,2026-01-07 10:15:00,EN_CURSO,REALIZADA,
452,2026-01-07 10:45:00,EN_CURSO,REALIZADA,
1898,2026-01-07 10:45:00,PROGRAMADA,EN_CURSO,
1057,2026-01-07 10:45:00,PROGRAMADA,EN_CURSO,
654,2026-01-07 11:00:00,PROGRAMADA,EN_CURSO,
298,2026-01-07 11:00:00,PROGRAMADA,EN_CURSO,
501,2026-01-07 11:30:00,EN_CURSO,REALIZADA,
1898,2026-01-07 11:30:00,EN_CURSO,REALIZADA,
